aa_eleicao;nm_regiao;sg_uf;nm_municipio;sg_partido;pc_candidato;qt_votos_validos;qt_votos_nom_validos;qt_total_vt_leg_validos
2022;SUDESTE;MG;MURIAÉ;AGIR;0;2;0;2
2022;SUDESTE;MG;MURIAÉ;AVANTE;0,0406;2275;2267;8
2022;SUDESTE;MG;MURIAÉ;CIDADANIA;0,0004;24;11;13
2022;SUDESTE;MG;MURIAÉ;DC;0,0006;35;0;35
2022;SUDESTE;MG;MURIAÉ;MDB;0,0149;832;801;31
2022;SUDESTE;MG;MURIAÉ;NOVO;0,0046;258;185;73
2022;SUDESTE;MG;MURIAÉ;PATRIOTA;0,0161;902;892;10
2022;SUDESTE;MG;MURIAÉ;PC do B;0,0081;451;433;18
2022;SUDESTE;MG;MURIAÉ;PCB;0,0008;46;40;6
2022;SUDESTE;MG;MURIAÉ;PCO;0;2;1;1
2022;SUDESTE;MG;MURIAÉ;PDT;0,0092;517;450;67
2022;SUDESTE;MG;MURIAÉ;PL;0,2273;12726;12537;189
2022;SUDESTE;MG;MURIAÉ;PMB;0,0002;10;0;10
2022;SUDESTE;MG;MURIAÉ;PMN;0,0035;195;190;5
2022;SUDESTE;MG;MURIAÉ;PODE;0,0033;182;176;6
2022;SUDESTE;MG;MURIAÉ;PP;0,0061;340;301;39
2022;SUDESTE;MG;MURIAÉ;PROS;0,0043;242;241;1
2022;SUDESTE;MG;MURIAÉ;PRTB;0,0003;16;14;2
2022;SUDESTE;MG;MURIAÉ;PSB;0,0028;159;157;2
2022;SUDESTE;MG;MURIAÉ;PSC;0,0053;299;258;41
2022;SUDESTE;MG;MURIAÉ;PSD;0,2783;15581;15411;170
2022;SUDESTE;MG;MURIAÉ;PSDB;0,005;279;260;19
2022;SUDESTE;MG;MURIAÉ;PSOL;0,0068;378;346;32
2022;SUDESTE;MG;MURIAÉ;PSTU;0,0001;4;0;4
2022;SUDESTE;MG;MURIAÉ;PT;0,1691;9466;8981;485
2022;SUDESTE;MG;MURIAÉ;PTB;0,1544;8642;8601;41
2022;SUDESTE;MG;MURIAÉ;PV;0,001;55;41;14
2022;SUDESTE;MG;MURIAÉ;REDE;0,0014;80;77;3
2022;SUDESTE;MG;MURIAÉ;REPUBLICANOS;0,0158;883;869;14
2022;SUDESTE;MG;MURIAÉ;SOLIDARIEDADE;0,0018;101;96;5
2022;SUDESTE;MG;MURIAÉ;UNIÃO;0,0178;999;985;14
2022;SUDESTE;MG;MURIAÉ;UP;0,0001;4;2;2
